cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
393198520, 0, 7, 10, 65535, 288, 0, 0, ffffffff, true, 19-20, Unsolvable
1179595561, 0, 14, 10, 65535, 288, 0, 1, ffffffff, true, 20-21, Unsolvable
393200434, 454458, 4, 4, 65535, 32, 2, 0, 2e, false, , OneByte
393228748, 454458, 4, 4, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 4, 4, 65535, 32, 2, 0, 5f, false, , OneByte
3623503457, 500724, 4, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182870349, 188222, 4, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182863881, 188222, 4, 4, 65535, 32770, 2, 0, 0, true, , Offset
393195913, 0, 7, 4, 65535, 32, 2, 80, a, true, , OneByte
393198520, 0, 8, 10, 65535, 288, 0, 0, ffffffff, true, 21-22, Unsolvable
1179595561, 0, 15, 10, 65535, 288, 0, 0, ffffffff, true, 22-23, Unsolvable
1179595561, 0, 16, 10, 65535, 288, 0, 0, ffffffff, true, 23-24, Unsolvable
393200434, 454458, 5, 4, 65535, 32, 2, 0, 2e, false, , OneByte
393228748, 454458, 5, 10, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 5, 10, 65535, 32, 2, 0, 5f, false, , OneByte
3623503457, 500724, 5, 10, 65535, 32, 2, 0, 5f, false, , OneByte
4182870349, 188222, 5, 10, 65535, 32, 2, 0, 5f, false, , OneByte
4182863881, 188222, 5, 10, 65535, 32770, 2, 0, 0, true, , Offset
393195913, 0, 8, 10, 65535, 32, 2, 80, a, true, , OneByte
393198520, 0, 9, 10, 65535, 288, 0, 4, ffffffff, true, 26-27, Unsolvable
393195913, 0, 9, 10, 65535, 32, 2, 4, a, true, , OneByte
393198520, 0, 10, 10, 65535, 288, 0, 8, ffffffff, true, 27-28, Unsolvable
393195913, 0, 10, 10, 65535, 32, 2, 8, a, true, , OneByte
393198520, 0, 11, 10, 65535, 288, 0, 34, ffffffff, true, 28-29, Unsolvable
393200434, 454458, 6, 10, 65535, 32, 2, 34, 2e, false, , OneByte
393228748, 454458, 6, 10, 65535, 32, 2, 34, 24, false, , OneByte
3623497946, 500724, 6, 10, 65535, 32, 2, 34, 5f, true, , OneByte
3623503457, 500724, 6, 10, 65535, 32, 2, 34, 5f, true, , OneByte
4182870349, 188222, 6, 10, 65535, 32, 2, 34, 5f, true, , OneByte
4182863881, 188222, 6, 10, 65535, 32770, 2, 0, 0, true, , Offset
393195913, 0, 11, 10, 65535, 32, 2, a4, a, true, , OneByte
393198520, 0, 12, 10, 65535, 288, 0, 0, ffffffff, true, 33-34, Unsolvable
393200434, 454458, 7, 10, 65535, 32, 2, 0, 2e, true, , OneByte
393228748, 454458, 7, 10, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 7, 10, 65535, 32, 2, 0, 5f, false, , OneByte
3623503457, 500724, 7, 10, 65535, 32, 2, 0, 5f, false, , OneByte
4182870349, 188222, 7, 10, 65535, 32, 2, 0, 5f, false, , OneByte
4182863881, 188222, 7, 10, 65535, 32770, 2, 0, 0, true, , Offset
393195913, 0, 12, 10, 65535, 32, 2, 20, a, true, , OneByte
393198520, 0, 13, 10, 65535, 288, 0, 0, ffffffff, true, 43-44, Unsolvable
393200434, 454458, 8, 10, 65535, 32, 2, 0, 2e, false, , OneByte
393228748, 454458, 8, 10, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 8, 10, 65535, 32, 2, 0, 5f, true, , OneByte
3623503457, 500724, 8, 10, 65535, 32, 2, 0, 5f, true, , OneByte
4182870349, 188222, 8, 10, 65535, 32, 2, 0, 5f, true, , OneByte
4182863881, 188222, 8, 10, 65535, 32770, 2, 0, 0, true, , Offset
393195913, 0, 13, 10, 65535, 32, 2, 2, a, true, , OneByte
393198520, 0, 14, 10, 65535, 288, 0, 0, ffffffff, true, 45-46, Unsolvable
393200434, 454458, 9, 10, 65535, 32, 2, 0, 2e, false, , OneByte
393228748, 454458, 9, 10, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 9, 10, 65535, 32, 2, 0, 5f, false, , OneByte
3623503457, 500724, 9, 10, 65535, 32, 2, 0, 5f, false, , OneByte
4182870349, 188222, 9, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182863881, 188222, 9, 4, 65535, 32770, 2, 0, 0, true, , Offset
393195913, 0, 14, 4, 65535, 32, 2, 4, a, true, , OneByte
393198520, 0, 15, 10, 65535, 288, 0, 0, ffffffff, true, 47-48, Unsolvable
393200434, 454458, 10, 4, 65535, 32, 2, 0, 2e, false, , OneByte
